Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
3_7_15	1.0	293	293	1.0	27.9	11.0	0.11904	0.04744	0.05948	0.03321	293	293	1.0	27.9	11.0	0.11904	0.04744	0.05948	0.03321
3_7_15	0.92	620	620	1.0	28.6	10.4	0.12151	0.04391	0.05891	0.03501	913	913	1.0	28.4	10.6	0.12072	0.04506	0.05909	0.03442
3_7_15	0.83	1345	1345	1.0	26.8	10.4	0.11359	0.0439	0.06774	0.04108	2258	2258	1.0	27.5	10.5	0.11647	0.0445	0.06425	0.03875
3_7_15	0.75	1877	1877	1.0	24.6	9.8	0.10447	0.04217	0.07133	0.04553	4135	4135	1.0	26.1	10.3	0.11103	0.04386	0.06746	0.04211
3_7_15	0.67	2597	2597	1.0	22.7	9.8	0.09677	0.04233	0.07101	0.05151	6732	6732	1.0	24.8	10.3	0.10553	0.04383	0.06883	0.04599
3_7_15	0.58	3256	3256	1.0	20.6	9.0	0.08809	0.03852	0.06981	0.0545	9988	9988	1.0	23.4	10.1	0.09984	0.04295	0.06915	0.04893
3_7_15	0.5	4093	4087	1.0	18.1	8.7	0.07766	0.03768	0.07095	0.06348	14081	14075	1.0	21.9	10.0	0.0934	0.04269	0.06967	0.05357
3_7_15	0.42	5163	5146	1.0	15.2	7.9	0.0655	0.03403	0.06843	0.07124	19244	19221	1.0	20.1	9.9	0.08593	0.04239	0.06934	0.05882
3_7_15	0.33	7119	7060	0.99	12.6	7.3	0.05458	0.03165	0.06732	0.08498	26363	26281	1.0	18.1	9.9	0.07751	0.04215	0.0688	0.06687
3_7_15	0.25	11530	11237	0.97	9.3	6.1	0.04125	0.02729	0.06909	0.10863	37893	37518	0.99	15.5	9.8	0.06665	0.04175	0.06889	0.08165
3_7_15	0.17	27669	24348	0.88	5.6	4.4	0.02532	0.02008	0.07359	0.15704	65562	61866	0.94	11.6	9.4	0.05038	0.04029	0.07074	0.11728
3_7_15	0.08	114776	6203	0.05	2.0	2.0	0.00932	0.00965	1.0	0.0	180338	68069	0.38	10.7	9.4	0.04664	0.0403	0.15542	0.28987
3_15_15	1.0	304	304	1.0	27.1	11.1	0.11523	0.04746	0.06105	0.03315	304	304	1.0	27.1	11.1	0.11523	0.04746	0.06105	0.03315
3_15_15	0.92	584	584	1.0	28.4	10.5	0.12035	0.0438	0.05946	0.03498	888	888	1.0	28.0	10.8	0.1186	0.04512	0.06	0.03435
