Name	PropCovLoci	Poly	Sample	AvCov	SDCov
3_7_20	0.08	0	1292	18.4	18.3
3_7_20	0.08	0	1382	37.1	40.1
3_7_20	0.08	0	249	19.9	28.5
3_7_20	0.08	0	4043	33.7	52.4
3_7_20	0.08	0	4167	38.6	40.0
3_7_20	0.08	0	4193	44.2	41.4
3_7_20	0.08	0	4293	35.2	28.3
3_7_20	0.08	0	6245	39.8	52.2
3_7_20	0.08	0	6417	37.0	46.3
3_7_20	0.08	0	666	32.9	41.8
3_7_20	0.08	0	759	94.3	91.8
3_7_20	0.08	0	767	77.6	78.0
3_7_20	0.08	1	1292	37.2	22.4
3_7_20	0.08	1	1382	78.0	55.0
3_7_20	0.08	1	249	31.3	29.3
3_7_20	0.08	1	4043	87.5	91.0
3_7_20	0.08	1	4167	82.3	62.4
3_7_20	0.08	1	4193	74.7	48.2
3_7_20	0.08	1	4293	69.4	45.7
3_7_20	0.08	1	6245	48.8	53.3
3_7_20	0.08	1	6417	53.0	57.9
3_7_20	0.08	1	666	43.9	52.0
3_7_20	0.08	1	759	140.6	104.9
3_7_20	0.08	1	767	113.1	86.9
3_7_20	0.17	0	1292	22.7	22.3
3_7_20	0.17	0	1382	32.9	33.9
3_7_20	0.17	0	249	37.2	43.8
3_7_20	0.17	0	4043	65.2	85.4
3_7_20	0.17	0	4167	48.9	50.2
3_7_20	0.17	0	4193	51.1	65.5
3_7_20	0.17	0	4293	38.5	32.0
3_7_20	0.17	0	6245	46.9	58.5
3_7_20	0.17	0	6417	50.3	53.8
3_7_20	0.17	0	666	46.4	52.8
3_7_20	0.17	0	759	116.8	105.7
3_7_20	0.17	0	767	101.2	96.7
3_7_20	0.17	1	1292	21.1	21.4
3_7_20	0.17	1	1382	43.9	48.2
3_7_20	0.17	1	249	30.0	38.1
3_7_20	0.17	1	4043	59.6	71.9
3_7_20	0.17	1	4167	42.8	45.5
3_7_20	0.17	1	4193	50.2	45.4
3_7_20	0.17	1	4293	38.7	33.1
3_7_20	0.17	1	6245	44.4	58.1
3_7_20	0.17	1	6417	45.0	50.8
3_7_20	0.17	1	666	40.3	50.9
3_7_20	0.17	1	759	116.9	97.1
3_7_20	0.17	1	767	99.3	84.5
3_7_20	0.25	0	1292	24.4	27.7
3_7_20	0.25	0	1382	44.7	71.0
3_7_20	0.25	0	249	41.9	44.5
3_7_20	0.25	0	4043	58.6	61.2
3_7_20	0.25	0	4167	53.0	61.8
3_7_20	0.25	0	4193	66.8	76.6
3_7_20	0.25	0	4293	48.6	38.0
3_7_20	0.25	0	6245	43.4	66.7
3_7_20	0.25	0	6417	57.3	59.6
