Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
3_7_20	1.0	39	39	1.0	11.6	2.7	0.04946	0.01152	0.06183	0.03952	39	39	1.0	11.6	2.7	0.04946	0.01152	0.06183	0.03952
3_7_20	0.92	52	52	1.0	12.2	2.7	0.05294	0.01264	0.05198	0.02702	91	91	1.0	11.9	2.7	0.05145	0.01223	0.0562	0.03312
3_7_20	0.83	192	192	1.0	11.6	3.1	0.04957	0.01333	0.07357	0.05165	283	283	1.0	11.7	2.9	0.05018	0.01299	0.06798	0.04715
3_7_20	0.75	362	361	1.0	11.3	3.1	0.04835	0.01347	0.08066	0.04929	645	644	1.0	11.5	3.0	0.04915	0.01329	0.07509	0.04873
3_7_20	0.67	628	628	1.0	10.8	3.5	0.04632	0.0152	0.08162	0.06268	1273	1272	1.0	11.1	3.3	0.04776	0.01433	0.07831	0.05613
3_7_20	0.58	1008	1008	1.0	10.8	3.2	0.04668	0.01441	0.0764	0.06064	2281	2280	1.0	11.0	3.3	0.04728	0.01437	0.07747	0.05816
3_7_20	0.5	1682	1676	1.0	10.1	3.6	0.04349	0.01556	0.07739	0.07087	3963	3956	1.0	10.6	3.4	0.04568	0.015	0.07743	0.06384
3_7_20	0.42	2859	2842	0.99	9.5	3.7	0.04122	0.01633	0.07429	0.0762	6822	6798	1.0	10.2	3.6	0.04381	0.01572	0.07612	0.06929
3_7_20	0.33	4827	4768	0.99	8.6	3.9	0.03748	0.01744	0.06997	0.0898	11649	11566	0.99	9.5	3.8	0.0412	0.01674	0.07359	0.07846
3_7_20	0.25	9541	9255	0.97	7.3	4.0	0.03235	0.01793	0.07073	0.11186	21190	20821	0.98	8.5	4.1	0.03727	0.01783	0.07231	0.09478
3_7_20	0.17	26518	23250	0.88	5.2	3.7	0.02334	0.01719	0.07304	0.15635	47708	44071	0.92	6.8	4.2	0.02992	0.01883	0.0727	0.13092
3_7_20	0.08	113556	6125	0.05	2.0	1.9	0.0092	0.00919	1.0	0.0	161264	50196	0.31	6.2	4.3	0.02739	0.01917	0.18585	0.32737
