Name	PropCovLoci	Poly	Sample	AvCov	SDCov
3_3_10	0.08	0	1292	17.7	17.2
3_3_10	0.08	0	1382	35.0	36.9
3_3_10	0.08	0	249	23.7	30.8
3_3_10	0.08	0	4043	34.0	50.4
3_3_10	0.08	0	4167	37.5	38.5
3_3_10	0.08	0	4193	41.4	38.8
3_3_10	0.08	0	4293	34.4	26.5
3_3_10	0.08	0	6245	37.8	48.7
3_3_10	0.08	0	6417	38.4	45.6
3_3_10	0.08	0	666	32.7	40.6
3_3_10	0.08	0	759	85.1	86.8
3_3_10	0.08	0	767	73.8	74.3
3_3_10	0.08	1	1292	36.0	21.4
3_3_10	0.08	1	1382	72.5	52.3
3_3_10	0.08	1	249	31.7	27.2
3_3_10	0.08	1	4043	79.3	79.4
3_3_10	0.08	1	4167	78.4	64.7
3_3_10	0.08	1	4193	72.6	45.6
3_3_10	0.08	1	4293	67.8	41.9
3_3_10	0.08	1	6245	43.9	51.5
3_3_10	0.08	1	6417	52.1	56.7
3_3_10	0.08	1	666	38.8	44.2
3_3_10	0.08	1	759	130.1	96.9
3_3_10	0.08	1	767	108.4	78.1
3_3_10	0.17	0	1292	18.9	17.7
3_3_10	0.17	0	1382	37.0	57.3
3_3_10	0.17	0	249	34.9	38.2
3_3_10	0.17	0	4043	57.7	71.0
3_3_10	0.17	0	4167	45.8	46.2
3_3_10	0.17	0	4193	41.7	40.5
3_3_10	0.17	0	4293	36.9	29.4
3_3_10	0.17	0	6245	44.2	56.3
3_3_10	0.17	0	6417	50.8	49.2
3_3_10	0.17	0	666	45.5	49.5
3_3_10	0.17	0	759	112.8	105.3
3_3_10	0.17	0	767	102.0	119.1
3_3_10	0.17	1	1292	20.4	20.3
3_3_10	0.17	1	1382	40.5	42.5
3_3_10	0.17	1	249	30.6	35.8
3_3_10	0.17	1	4043	57.6	70.0
3_3_10	0.17	1	4167	39.6	43.2
3_3_10	0.17	1	4193	47.0	42.8
3_3_10	0.17	1	4293	37.4	30.0
3_3_10	0.17	1	6245	42.6	54.7
3_3_10	0.17	1	6417	44.2	49.0
3_3_10	0.17	1	666	39.6	47.8
3_3_10	0.17	1	759	111.0	93.2
3_3_10	0.17	1	767	96.0	82.5
3_3_10	0.25	0	1292	14.1	12.7
3_3_10	0.25	0	1382	37.6	33.1
3_3_10	0.25	0	249	42.6	47.7
3_3_10	0.25	0	4043	46.6	50.4
3_3_10	0.25	0	4167	46.7	47.1
3_3_10	0.25	0	4193	67.0	60.7
3_3_10	0.25	0	4293	50.3	39.7
3_3_10	0.25	0	6245	37.6	41.3
3_3_10	0.25	0	6417	50.7	54.0
3_3_10	0.25	0	666	58.4	55.3
3_3_10	0.25	0	759	74.7	118.6
3_3_10	0.25	0	767	54.7	92.7
3_3_10	0.25	1	1292	20.5	20.3
3_3_10	0.25	1	1382	41.1	43.9
3_3_10	0.25	1	249	37.1	41.2
3_3_10	0.25	1	4043	65.2	78.3
3_3_10	0.25	1	4167	43.2	46.1
3_3_10	0.25	1	4193	50.4	45.8
3_3_10	0.25	1	4293	39.6	31.8
3_3_10	0.25	1	6245	47.4	56.6
3_3_10	0.25	1	6417	49.2	53.4
3_3_10	0.25	1	666	47.3	55.4
3_3_10	0.25	1	759	103.5	98.0
3_3_10	0.25	1	767	88.0	100.4
3_3_10	0.33	0	1292	17.8	13.8
3_3_10	0.33	0	1382	39.9	26.6
3_3_10	0.33	0	249	45.3	46.9
3_3_10	0.33	0	4043	76.1	34.4
3_3_10	0.33	0	4167	54.1	50.1
3_3_10	0.33	0	4193	49.1	37.0
3_3_10	0.33	0	4293	41.8	29.7
3_3_10	0.33	0	6245	45.5	53.8
3_3_10	0.33	0	6417	61.2	46.8
3_3_10	0.33	0	666	56.5	55.5
3_3_10	0.33	0	759	8.5	5.0
3_3_10	0.33	1	1292	21.9	21.4
3_3_10	0.33	1	1382	44.3	47.1
3_3_10	0.33	1	249	44.3	49.0
3_3_10	0.33	1	4043	68.6	78.7
3_3_10	0.33	1	4167	48.8	50.0
3_3_10	0.33	1	4193	52.2	48.9
3_3_10	0.33	1	4293	41.6	33.8
3_3_10	0.33	1	6245	55.3	60.6
3_3_10	0.33	1	6417	53.3	56.8
3_3_10	0.33	1	666	55.6	58.9
3_3_10	0.33	1	759	109.2	107.4
3_3_10	0.33	1	767	92.7	103.8
3_3_10	0.42	0	1292	22.6	14.2
3_3_10	0.42	0	1382	124.7	0
