Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
7_12_12	1.0	267	267	1.0	26.3	10.7	0.1127	0.04607	0.06181	0.03342	267	267	1.0	26.3	10.7	0.1127	0.04607	0.06181	0.03342
7_12_12	0.92	525	525	1.0	28.3	10.5	0.12021	0.04375	0.06262	0.03853	792	792	1.0	27.6	10.6	0.11768	0.04465	0.06235	0.03687
7_12_12	0.83	1058	1056	1.0	25.6	10.1	0.10925	0.04343	0.07366	0.04686	1850	1848	1.0	26.5	10.4	0.11286	0.04414	0.06881	0.04322
7_12_12	0.75	1449	1449	1.0	24.1	10.0	0.1031	0.04334	0.07733	0.05341	3299	3297	1.0	25.4	10.3	0.10857	0.04405	0.07256	0.04814
7_12_12	0.67	1887	1887	1.0	22.4	9.4	0.09611	0.04033	0.07895	0.05493	5186	5184	1.0	24.3	10.1	0.10404	0.04315	0.07488	0.05081
7_12_12	0.58	2404	2399	1.0	20.4	8.9	0.08751	0.03855	0.07762	0.05986	7590	7583	1.0	23.1	9.9	0.09881	0.04245	0.07575	0.05385
7_12_12	0.5	3112	3105	1.0	17.6	8.3	0.07606	0.0359	0.08113	0.06814	10702	10688	1.0	21.5	9.8	0.0922	0.04195	0.07731	0.05841
7_12_12	0.42	4140	4123	1.0	15.1	7.6	0.06502	0.03288	0.07922	0.07601	14842	14811	1.0	19.7	9.7	0.08463	0.04146	0.07784	0.0638
7_12_12	0.33	5934	5893	0.99	12.3	7.0	0.05319	0.03021	0.07932	0.08967	20776	20704	1.0	17.6	9.6	0.07568	0.04112	0.07826	0.07212
7_12_12	0.25	9466	9229	0.97	9.3	6.0	0.04076	0.02625	0.0813	0.11626	30242	29933	0.99	15.0	9.4	0.06491	0.04052	0.0792	0.08813
7_12_12	0.17	23203	20436	0.88	5.6	4.3	0.02489	0.0193	0.0853	0.16319	53445	50369	0.94	11.2	9.1	0.04868	0.0389	0.08168	0.12421
7_12_12	0.08	89311	6604	0.07	2.3	2.5	0.0106	0.01184	1.0	0.0	142756	56973	0.4	10.2	9.0	0.04426	0.03876	0.18812	0.31633
7_10_12	1.0	266	266	1.0	25.9	10.2	0.11099	0.04385	0.0599	0.03134	266	266	1.0	25.9	10.2	0.11099	0.04385	0.0599	0.03134
7_10_12	0.92	529	529	1.0	28.3	10.4	0.11998	0.04295	0.06274	0.03866	795	795	1.0	27.5	10.4	0.11697	0.04344	0.06179	0.03638
7_10_12	0.83	1065	1064	1.0	25.6	10.1	0.10908	0.0434	0.07219	0.04622	1860	1859	1.0	26.4	10.3	0.11245	0.04358	0.06774	0.04259
7_10_12	0.75	1459	1458	1.0	24.3	10.1	0.10397	0.04363	0.07747	0.05422	3319	3317	1.0	25.5	10.3	0.10873	0.0438	0.07202	0.04829
7_10_12	0.67	1897	1896	1.0	22.3	9.4	0.09583	0.04047	0.07787	0.0543	5216	5213	1.0	24.3	10.1	0.10404	0.04306	0.07415	0.05063
7_10_12	0.58	2458	2456	1.0	20.4	8.8	0.08762	0.03816	0.07783	0.05908	7674	7669	1.0	23.1	9.9	0.09878	0.04225	0.07533	0.0535
