Name	PropCovLoci	Poly	Sample	AvCov	SDCov
7_12_10	0.08	0	1292	24.9	19.9
7_12_10	0.08	0	1382	46.7	38.9
7_12_10	0.08	0	249	30.5	35.9
7_12_10	0.08	0	4043	45.7	58.7
7_12_10	0.08	0	4167	51.2	39.4
7_12_10	0.08	0	4193	53.8	39.2
7_12_10	0.08	0	4293	42.9	25.2
7_12_10	0.08	0	6245	46.8	54.0
7_12_10	0.08	0	6417	49.7	49.5
7_12_10	0.08	0	666	39.0	43.1
7_12_10	0.08	0	759	117.2	88.3
7_12_10	0.08	0	767	98.7	78.2
7_12_10	0.08	1	1292	37.7	21.9
7_12_10	0.08	1	1382	77.9	58.1
7_12_10	0.08	1	249	38.0	39.1
7_12_10	0.08	1	4043	99.8	122.5
7_12_10	0.08	1	4167	85.1	62.8
7_12_10	0.08	1	4193	75.0	47.6
7_12_10	0.08	1	4293	70.4	44.2
7_12_10	0.08	1	6245	51.4	58.2
7_12_10	0.08	1	6417	62.2	67.0
7_12_10	0.08	1	666	45.5	51.5
7_12_10	0.08	1	759	144.3	116.9
7_12_10	0.08	1	767	117.7	82.1
7_12_10	0.17	0	1292	30.0	26.4
7_12_10	0.17	0	1382	45.9	38.1
7_12_10	0.17	0	249	44.5	47.7
7_12_10	0.17	0	4043	81.8	92.9
7_12_10	0.17	0	4167	59.8	47.0
7_12_10	0.17	0	4193	59.0	45.9
7_12_10	0.17	0	4293	51.4	49.6
7_12_10	0.17	0	6245	56.3	71.7
7_12_10	0.17	0	6417	66.1	61.3
7_12_10	0.17	0	666	55.1	56.1
7_12_10	0.17	0	759	143.6	117.8
7_12_10	0.17	0	767	120.2	90.7
7_12_10	0.17	1	1292	27.4	26.2
7_12_10	0.17	1	1382	52.7	44.3
7_12_10	0.17	1	249	38.3	42.0
7_12_10	0.17	1	4043	70.8	77.4
7_12_10	0.17	1	4167	54.5	43.6
7_12_10	0.17	1	4193	59.8	42.6
7_12_10	0.17	1	4293	46.3	29.6
7_12_10	0.17	1	6245	52.1	60.6
7_12_10	0.17	1	6417	52.6	51.7
7_12_10	0.17	1	666	45.2	49.3
7_12_10	0.17	1	759	138.1	88.3
7_12_10	0.17	1	767	118.6	78.6
7_12_10	0.25	0	1292	37.2	29.9
7_12_10	0.25	0	1382	62.3	53.5
7_12_10	0.25	0	249	57.6	50.7
7_12_10	0.25	0	4043	75.2	64.7
7_12_10	0.25	0	4167	70.5	77.3
7_12_10	0.25	0	4193	81.6	70.7
7_12_10	0.25	0	4293	66.9	59.5
7_12_10	0.25	0	6245	49.7	54.0
7_12_10	0.25	0	6417	64.1	59.0
7_12_10	0.25	0	666	70.8	59.5
7_12_10	0.25	0	759	127.9	139.8
7_12_10	0.25	0	767	109.3	88.5
7_12_10	0.25	1	1292	28.1	23.6
7_12_10	0.25	1	1382	53.3	46.2
7_12_10	0.25	1	249	46.1	48.3
7_12_10	0.25	1	4043	79.2	82.7
7_12_10	0.25	1	4167	56.6	46.1
7_12_10	0.25	1	4193	64.1	49.8
7_12_10	0.25	1	4293	49.4	31.0
7_12_10	0.25	1	6245	56.4	61.2
7_12_10	0.25	1	6417	59.1	56.1
7_12_10	0.25	1	666	55.3	55.4
7_12_10	0.25	1	759	132.5	96.5
7_12_10	0.25	1	767	116.5	96.6
7_12_10	0.33	0	1292	42.4	50.4
7_12_10	0.33	0	1382	75.8	59.8
7_12_10	0.33	0	249	60.9	57.1
7_12_10	0.33	0	4043	112.7	102.7
7_12_10	0.33	0	4167	70.7	54.7
7_12_10	0.33	0	4193	57.3	39.3
7_12_10	0.33	0	4293	45.9	28.1
7_12_10	0.33	0	6245	58.0	49.5
7_12_10	0.33	0	6417	74.5	42.7
7_12_10	0.33	0	666	51.3	44.3
7_12_10	0.33	0	759	12.0	0
7_12_10	0.33	0	767	318.7	0
7_12_10	0.33	1	1292	29.2	23.0
7_12_10	0.33	1	1382	55.3	50.0
7_12_10	0.33	1	249	53.6	53.8
7_12_10	0.33	1	4043	83.0	84.0
7_12_10	0.33	1	4167	59.8	47.5
7_12_10	0.33	1	4193	66.6	54.9
7_12_10	0.33	1	4293	52.9	31.5
7_12_10	0.33	1	6245	66.5	64.3
7_12_10	0.33	1	6417	64.9	64.2
7_12_10	0.33	1	666	67.5	64.4
7_12_10	0.33	1	759	133.1	104.4
7_12_10	0.33	1	767	118.0	161.6
7_12_10	0.42	0	1292	40.3	16.1
