Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
7_12_10	1.0	93	93	1.0	15.2	4.6	0.0653	0.02025	0.05892	0.04013	93	93	1.0	15.2	4.6	0.0653	0.02025	0.05892	0.04013
7_12_10	0.92	143	143	1.0	15.8	4.2	0.06822	0.01851	0.06349	0.04979	236	236	1.0	15.5	4.4	0.06707	0.01922	0.06169	0.04619
7_12_10	0.83	392	389	0.99	15.3	4.4	0.06551	0.01918	0.07631	0.05452	628	625	1.0	15.4	4.4	0.0661	0.0192	0.07079	0.05198
7_12_10	0.75	620	620	1.0	14.8	4.7	0.06325	0.02027	0.08418	0.06649	1248	1245	1.0	15.1	4.5	0.06468	0.01978	0.07746	0.06
7_12_10	0.67	915	915	1.0	14.6	4.7	0.06247	0.02073	0.08343	0.06227	2163	2160	1.0	14.9	4.6	0.06374	0.02021	0.07999	0.06103
7_12_10	0.58	1404	1399	1.0	14.2	4.8	0.06112	0.02078	0.08193	0.06521	3567	3559	1.0	14.6	4.7	0.06271	0.02048	0.08075	0.0627
7_12_10	0.5	2242	2236	1.0	13.3	4.9	0.0575	0.02143	0.08356	0.0706	5809	5795	1.0	14.1	4.8	0.0607	0.021	0.08184	0.06587
7_12_10	0.42	3385	3370	1.0	12.2	5.2	0.05251	0.02241	0.07935	0.07628	9194	9165	1.0	13.4	5.0	0.05769	0.02189	0.08092	0.06989
7_12_10	0.33	5371	5329	0.99	10.6	5.3	0.04584	0.02299	0.0812	0.09151	14565	14494	1.0	12.4	5.3	0.05333	0.02302	0.08102	0.07853
7_12_10	0.25	9154	8915	0.97	8.5	5.0	0.03731	0.02201	0.08281	0.11792	23719	23409	0.99	10.9	5.5	0.04723	0.02394	0.0817	0.09547
7_12_10	0.17	23450	20615	0.88	5.4	4.1	0.02396	0.01801	0.08524	0.16332	47169	44024	0.93	8.3	5.6	0.03633	0.02432	0.08336	0.13168
7_12_10	0.08	91950	6883	0.07	2.3	2.5	0.01066	0.01157	1.0	0.0	139119	50907	0.37	7.5	5.7	0.03286	0.02463	0.2073	0.33651
7_10_10	1.0	89	89	1.0	15.4	4.6	0.06641	0.0199	0.05858	0.03368	89	89	1.0	15.4	4.6	0.06641	0.0199	0.05858	0.03368
7_10_10	0.92	147	147	1.0	15.8	4.2	0.06848	0.01831	0.06171	0.05009	236	236	1.0	15.7	4.3	0.0677	0.01891	0.06053	0.04456
7_10_10	0.83	393	392	1.0	15.4	4.3	0.06594	0.01865	0.07666	0.06907	629	628	1.0	15.5	4.3	0.0666	0.01875	0.0706	0.06149
7_10_10	0.75	623	621	1.0	14.8	4.7	0.0634	0.02041	0.08379	0.06884	1252	1249	1.0	15.2	4.5	0.06501	0.01965	0.07716	0.06555
7_10_10	0.67	933	932	1.0	14.6	4.7	0.06249	0.02051	0.08328	0.06245	2185	2181	1.0	14.9	4.6	0.06393	0.02006	0.07977	0.0643
7_10_10	0.58	1439	1438	1.0	14.2	4.8	0.06096	0.02087	0.08153	0.06602	3624	3619	1.0	14.6	4.7	0.06275	0.02043	0.08047	0.06499
7_10_10	0.5	2307	2299	1.0	13.4	4.9	0.05781	0.0211	0.08323	0.07038	5931	5918	1.0	14.2	4.8	0.06083	0.02083	0.08154	0.06714
7_10_10	0.42	3446	3430	1.0	12.2	5.2	0.05255	0.02254	0.07932	0.07568	9377	9348	1.0	13.4	5.0	0.05779	0.02184	0.08073	0.0704
7_10_10	0.33	5390	5345	0.99	10.5	5.3	0.04558	0.02306	0.08095	0.09423	14767	14693	0.99	12.4	5.3	0.05335	0.02305	0.08081	0.07989
