Name	PropCovLoci	Poly	Sample	AvCov	SDCov
7_15_15	0.08	0	1455	59.3	58.9
7_15_15	0.08	0	1472	29.6	37.3
7_15_15	0.08	0	2062	59.0	63.5
7_15_15	0.08	0	2063	54.9	41.9
7_15_15	0.08	0	2066	38.0	32.2
7_15_15	0.08	0	249	25.5	33.6
7_15_15	0.08	0	2890	32.1	32.0
7_15_15	0.08	0	4167	55.4	45.7
7_15_15	0.08	0	663	27.7	33.0
7_15_15	0.08	0	666	38.8	45.4
7_15_15	0.08	0	726	50.4	56.3
7_15_15	0.08	0	850	31.0	37.5
7_15_15	0.08	1	1455	79.1	92.0
7_15_15	0.08	1	1472	34.8	36.4
7_15_15	0.08	1	2062	103.9	169.4
7_15_15	0.08	1	2063	84.5	58.9
7_15_15	0.08	1	2066	57.7	40.5
7_15_15	0.08	1	249	35.0	38.0
7_15_15	0.08	1	2890	41.2	36.9
7_15_15	0.08	1	4167	91.0	63.3
7_15_15	0.08	1	663	37.9	37.3
7_15_15	0.08	1	666	42.6	47.7
7_15_15	0.08	1	726	74.6	95.9
7_15_15	0.08	1	850	41.9	47.8
7_15_15	0.17	0	1455	62.6	59.1
7_15_15	0.17	0	1472	47.6	52.3
7_15_15	0.17	0	2062	68.5	75.5
7_15_15	0.17	0	2063	61.6	40.0
7_15_15	0.17	0	2066	43.5	34.2
7_15_15	0.17	0	249	40.8	46.5
7_15_15	0.17	0	2890	37.5	36.5
7_15_15	0.17	0	4167	66.0	58.9
7_15_15	0.17	0	663	33.8	35.7
7_15_15	0.17	0	666	49.2	52.6
7_15_15	0.17	0	726	61.3	68.8
7_15_15	0.17	0	850	41.0	48.9
7_15_15	0.17	1	1455	64.1	56.1
7_15_15	0.17	1	1472	32.1	36.0
7_15_15	0.17	1	2062	65.1	53.9
7_15_15	0.17	1	2063	60.8	69.4
7_15_15	0.17	1	2066	45.3	50.7
7_15_15	0.17	1	249	32.2	35.8
7_15_15	0.17	1	2890	32.5	35.1
7_15_15	0.17	1	4167	60.9	56.3
7_15_15	0.17	1	663	33.5	37.5
7_15_15	0.17	1	666	41.1	48.5
7_15_15	0.17	1	726	55.0	67.5
7_15_15	0.17	1	850	35.0	41.5
7_15_15	0.25	0	1455	69.4	53.6
7_15_15	0.25	0	1472	55.4	48.5
7_15_15	0.25	0	2062	70.4	51.5
7_15_15	0.25	0	2063	63.9	41.6
7_15_15	0.25	0	2066	45.6	35.6
7_15_15	0.25	0	249	42.1	43.9
7_15_15	0.25	0	2890	46.5	41.8
7_15_15	0.25	0	4167	62.9	46.3
7_15_15	0.25	0	663	42.5	47.0
7_15_15	0.25	0	666	61.0	61.9
7_15_15	0.25	0	726	61.2	70.9
7_15_15	0.25	0	850	52.8	59.7
7_15_15	0.25	1	1455	65.4	65.3
7_15_15	0.25	1	1472	37.3	42.6
7_15_15	0.25	1	2062	69.5	57.5
7_15_15	0.25	1	2063	61.6	44.7
7_15_15	0.25	1	2066	45.5	37.8
7_15_15	0.25	1	249	37.6	42.4
7_15_15	0.25	1	2890	36.0	39.0
7_15_15	0.25	1	4167	62.3	58.8
7_15_15	0.25	1	663	38.8	43.5
7_15_15	0.25	1	666	45.4	51.0
7_15_15	0.25	1	726	57.5	65.9
7_15_15	0.25	1	850	41.0	44.5
7_15_15	0.33	0	1455	79.2	61.6
7_15_15	0.33	0	1472	65.9	58.0
7_15_15	0.33	0	2062	77.8	56.3
7_15_15	0.33	0	2063	71.8	53.8
7_15_15	0.33	0	2066	55.1	43.5
7_15_15	0.33	0	249	47.5	49.1
7_15_15	0.33	0	2890	50.2	44.8
7_15_15	0.33	0	4167	67.5	48.6
7_15_15	0.33	0	663	44.8	51.7
7_15_15	0.33	0	666	63.3	55.2
7_15_15	0.33	0	726	64.1	70.6
7_15_15	0.33	0	850	65.3	62.9
7_15_15	0.33	1	1455	69.8	59.1
7_15_15	0.33	1	1472	43.1	45.1
7_15_15	0.33	1	2062	71.7	56.6
7_15_15	0.33	1	2063	61.8	43.7
7_15_15	0.33	1	2066	46.6	37.4
7_15_15	0.33	1	249	41.7	45.4
7_15_15	0.33	1	2890	38.4	37.1
7_15_15	0.33	1	4167	61.4	56.9
7_15_15	0.33	1	663	41.7	46.8
7_15_15	0.33	1	666	54.0	58.6
7_15_15	0.33	1	726	55.6	66.5
7_15_15	0.33	1	850	48.9	50.4
7_15_15	0.42	0	1455	88.5	57.3
7_15_15	0.42	0	1472	77.4	78.2
7_15_15	0.42	0	2062	85.1	53.4
7_15_15	0.42	0	2063	79.2	45.6
