Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdenisty	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdenisty
7_15_15	1.0	2046	2044	1.0	16.5	8.3	0.07018	0.03534	2046	2044	1.0	16.5	8.3	0.07018	0.03534
7_15_15	0.92	2008	2006	1.0	16.7	8.3	0.07102	0.03511	4054	4050	1.0	16.6	8.3	0.07059	0.03522
7_15_15	0.83	2043	2043	1.0	15.9	8.5	0.06775	0.03624	6097	6093	1.0	16.4	8.3	0.06964	0.03559
7_15_15	0.75	2217	2207	1.0	14.7	8.3	0.06275	0.03545	8314	8300	1.0	15.9	8.4	0.06781	0.03568
7_15_15	0.67	2567	2548	0.99	14.1	8.4	0.0603	0.03604	10881	10848	1.0	15.5	8.4	0.06604	0.03591
7_15_15	0.58	3112	3077	0.99	12.7	7.9	0.05467	0.03412	13993	13925	1.0	14.9	8.4	0.06353	0.03583
7_15_15	0.5	4080	4008	0.98	11.3	7.6	0.04888	0.03283	18073	17933	0.99	14.1	8.3	0.06026	0.03571
7_15_15	0.42	5369	5161	0.96	9.7	6.9	0.04215	0.03008	23442	23094	0.99	13.1	8.3	0.05621	0.03534
7_15_15	0.33	7495	6794	0.91	8.1	6.1	0.03549	0.02713	30937	29888	0.97	12.0	8.1	0.0515	0.03475
7_15_15	0.25	11334	9386	0.83	6.4	5.2	0.02913	0.02428	42271	39274	0.93	10.6	7.9	0.04615	0.03393
7_15_15	0.17	20154	13628	0.68	4.7	4.1	0.02216	0.01991	62425	52902	0.85	9.1	7.6	0.03997	0.03266
7_15_15	0.08	66101	3626	0.05	2.4	2.8	0.01214	0.01698	128526	56528	0.44	8.7	7.5	0.03819	0.03261
7_10_15	1.0	2109	2107	1.0	16.7	8.3	0.07114	0.03549	2109	2107	1.0	16.7	8.3	0.07114	0.03549
7_10_15	0.92	2111	2109	1.0	16.6	8.3	0.07064	0.03507	4220	4216	1.0	16.7	8.3	0.07089	0.03528
7_10_15	0.83	2139	2138	1.0	15.9	8.5	0.06791	0.03605	6359	6354	1.0	16.4	8.4	0.06988	0.03556
7_10_15	0.75	2325	2313	0.99	15.0	8.6	0.0641	0.03666	8684	8667	1.0	16.0	8.4	0.06834	0.03595
7_10_15	0.67	2641	2626	0.99	14.2	8.5	0.06059	0.03626	11325	11293	1.0	15.6	8.5	0.06654	0.03617
7_10_15	0.58	3167	3129	0.99	12.7	7.9	0.05453	0.0338	14492	14422	1.0	15.0	8.4	0.06393	0.03601
7_10_15	0.5	4185	4104	0.98	11.4	7.6	0.04929	0.033	18677	18526	0.99	14.2	8.4	0.06069	0.03588
7_10_15	0.42	5375	5168	0.96	9.8	7.0	0.04234	0.03032	24052	23694	0.99	13.2	8.3	0.05669	0.03556
7_10_15	0.33	7457	6770	0.91	8.2	6.3	0.0363	0.02816	31509	30464	0.97	12.1	8.2	0.05216	0.03509
7_10_15	0.25	11268	9282	0.82	6.4	5.2	0.02921	0.02428	42777	39746	0.93	10.8	8.0	0.0468	0.03429
7_10_15	0.17	19973	13548	0.68	4.6	4.1	0.0222	0.01996	62750	53294	0.85	9.2	7.7	0.04054	0.03306
7_10_15	0.08	65375	3395	0.05	2.2	2.4	0.01087	0.01342	128125	56689	0.44	8.8	7.6	0.03877	0.03298
7_15_10	1.0	2052	2050	1.0	16.4	8.2	0.0696	0.03479	2052	2050	1.0	16.4	8.2	0.0696	0.03479
7_15_10	0.92	2009	2006	1.0	16.5	8.2	0.07041	0.0348	4061	4056	1.0	16.5	8.2	0.07	0.03479
7_15_10	0.83	2023	2023	1.0	15.6	8.3	0.06635	0.0352	6084	6079	1.0	16.2	8.2	0.06878	0.03497
7_15_10	0.75	2188	2178	1.0	14.4	8.0	0.06152	0.03398	8272	8257	1.0	15.7	8.2	0.06687	0.03485
7_15_10	0.67	2558	2540	0.99	13.7	8.0	0.05862	0.03421	10830	10797	1.0	15.2	8.2	0.06493	0.03488
7_15_10	0.58	3078	3044	0.99	12.4	7.7	0.05338	0.03291	13908	13841	1.0	14.6	8.2	0.06239	0.03479
