Name	PropCovLoci	Poly	Sample	AvCov	SDCov
7_6_15	0.08	0	1292	25.3	20.1
7_6_15	0.08	0	1382	48.0	40.9
7_6_15	0.08	0	1472	31.2	45.0
7_6_15	0.08	0	2063	57.7	37.9
7_6_15	0.08	0	249	24.8	32.4
7_6_15	0.08	0	4043	43.5	59.2
7_6_15	0.08	0	4167	52.4	40.9
7_6_15	0.08	0	4193	54.9	42.0
7_6_15	0.08	0	4293	43.9	26.2
7_6_15	0.08	0	6245	47.8	56.0
7_6_15	0.08	0	6417	47.3	50.3
7_6_15	0.08	0	666	38.3	44.7
7_6_15	0.08	1	1292	38.9	24.7
7_6_15	0.08	1	1382	78.5	54.9
7_6_15	0.08	1	1472	35.4	34.3
7_6_15	0.08	1	2063	98.4	135.5
7_6_15	0.08	1	249	33.6	31.3
7_6_15	0.08	1	4043	100.0	97.5
7_6_15	0.08	1	4167	85.1	64.6
7_6_15	0.08	1	4193	78.9	64.5
7_6_15	0.08	1	4293	70.2	45.4
7_6_15	0.08	1	6245	55.2	63.5
7_6_15	0.08	1	6417	59.0	66.1
7_6_15	0.08	1	666	44.1	50.9
7_6_15	0.17	0	1292	29.5	32.0
7_6_15	0.17	0	1382	53.3	61.0
7_6_15	0.17	0	1472	49.4	52.4
7_6_15	0.17	0	2063	70.0	60.5
7_6_15	0.17	0	249	44.6	55.3
7_6_15	0.17	0	4043	86.7	105.1
7_6_15	0.17	0	4167	59.6	41.9
7_6_15	0.17	0	4193	67.8	98.6
7_6_15	0.17	0	4293	53.0	104.8
7_6_15	0.17	0	6245	57.0	60.6
7_6_15	0.17	0	6417	68.3	83.9
7_6_15	0.17	0	666	50.0	52.3
7_6_15	0.17	1	1292	26.9	23.5
7_6_15	0.17	1	1382	53.9	46.0
7_6_15	0.17	1	1472	35.4	39.6
7_6_15	0.17	1	2063	61.6	50.7
7_6_15	0.17	1	249	34.0	37.7
7_6_15	0.17	1	4043	70.4	79.5
7_6_15	0.17	1	4167	55.5	45.0
7_6_15	0.17	1	4193	61.6	57.8
7_6_15	0.17	1	4293	47.6	30.4
7_6_15	0.17	1	6245	52.2	62.0
7_6_15	0.17	1	6417	52.1	53.2
7_6_15	0.17	1	666	42.6	49.6
7_6_15	0.25	0	1292	31.7	26.5
7_6_15	0.25	0	1382	69.2	62.4
7_6_15	0.25	0	1472	57.9	58.2
7_6_15	0.25	0	2063	79.9	82.3
7_6_15	0.25	0	249	51.8	47.0
7_6_15	0.25	0	4043	83.0	94.7
7_6_15	0.25	0	4167	68.4	71.4
7_6_15	0.25	0	4193	80.8	71.7
7_6_15	0.25	0	4293	44.5	22.5
7_6_15	0.25	0	6245	38.8	46.9
7_6_15	0.25	0	6417	64.4	68.3
7_6_15	0.25	0	666	69.8	75.0
7_6_15	0.25	1	1292	27.5	22.1
7_6_15	0.25	1	1382	55.9	50.8
7_6_15	0.25	1	1472	43.7	46.8
7_6_15	0.25	1	2063	65.1	49.1
7_6_15	0.25	1	249	41.8	46.1
7_6_15	0.25	1	4043	75.3	82.5
7_6_15	0.25	1	4167	57.6	53.5
7_6_15	0.25	1	4193	66.4	60.0
7_6_15	0.25	1	4293	48.9	32.4
7_6_15	0.25	1	6245	54.6	63.2
7_6_15	0.25	1	6417	55.8	55.7
7_6_15	0.25	1	666	51.2	56.9
7_6_15	0.33	0	1292	19.6	7.6
7_6_15	0.33	0	1382	56.0	42.9
7_6_15	0.33	0	1472	70.2	63.6
7_6_15	0.33	0	2063	81.3	68.8
7_6_15	0.33	0	249	58.7	55.1
7_6_15	0.33	0	4043	65.4	47.0
7_6_15	0.33	0	4167	70.7	84.1
7_6_15	0.33	0	4193	53.4	43.3
7_6_15	0.33	0	4293	48.4	31.1
7_6_15	0.33	0	6245	76.5	72.1
7_6_15	0.33	0	6417	64.0	44.3
7_6_15	0.33	0	666	73.6	51.1
7_6_15	0.33	1	1292	28.7	22.6
7_6_15	0.33	1	1382	56.5	51.6
7_6_15	0.33	1	1472	50.6	51.4
7_6_15	0.33	1	2063	70.9	49.5
7_6_15	0.33	1	249	48.0	52.1
7_6_15	0.33	1	4043	82.5	91.9
7_6_15	0.33	1	4167	59.4	48.7
7_6_15	0.33	1	4193	63.4	48.9
7_6_15	0.33	1	4293	51.2	33.5
7_6_15	0.33	1	6245	62.5	65.7
7_6_15	0.33	1	6417	61.0	59.5
7_6_15	0.33	1	666	59.7	59.0
7_6_15	0.42	0	1292	23.0	7.3
7_6_15	0.42	0	1382	355.3	369.5
7_6_15	0.42	0	1472	99.6	71.7
7_6_15	0.42	0	2063	130.0	120.1
7_6_15	0.42	0	249	102.8	93.2
7_6_15	0.42	0	4043	113.8	17.6
7_6_15	0.42	0	4167	81.6	44.8
7_6_15	0.42	0	4193	57.2	40.3
7_6_15	0.42	0	4293	128.7	180.9
7_6_15	0.42	0	6245	118.6	109.2
7_6_15	0.42	0	6417	131.5	84.2
7_6_15	0.42	0	666	115.5	91.7
7_6_15	0.42	1	1292	30.0	24.5
7_6_15	0.42	1	1382	58.0	55.4
7_6_15	0.42	1	1472	60.0	57.0
7_6_15	0.42	1	2063	73.3	52.4
7_6_15	0.42	1	249	55.1	53.4
7_6_15	0.42	1	4043	87.7	90.8
7_6_15	0.42	1	4167	63.3	55.0
7_6_15	0.42	1	4193	68.3	61.8
7_6_15	0.42	1	4293	54.7	31.2
7_6_15	0.42	1	6245	68.4	66.9
7_6_15	0.42	1	6417	64.7	61.5
7_6_15	0.42	1	666	69.6	67.7
7_6_15	0.5	0	1292	66.7	13.0
7_6_15	0.5	0	1472	61.1	33.7
7_6_15	0.5	0	2063	60.1	22.2
7_6_15	0.5	0	249	68.2	46.0
7_6_15	0.5	0	4043	39.4	2.1
7_6_15	0.5	0	4167	68.4	52.1
7_6_15	0.5	0	4193	145.4	0
7_6_15	0.5	0	4293	44.0	45.2
7_6_15	0.5	0	6245	87.5	52.6
7_6_15	0.5	0	6417	87.3	53.3
7_6_15	0.5	0	666	126.0	111.9
7_6_15	0.5	1	1292	29.6	24.0
7_6_15	0.5	1	1382	58.4	50.0
7_6_15	0.5	1	1472	68.1	62.5
7_6_15	0.5	1	2063	79.4	54.4
7_6_15	0.5	1	249	61.3	59.1
7_6_15	0.5	1	4043	92.7	93.0
7_6_15	0.5	1	4167	63.9	52.9
7_6_15	0.5	1	4193	67.7	51.5
7_6_15	0.5	1	4293	57.7	36.6
7_6_15	0.5	1	6245	78.0	72.6
7_6_15	0.5	1	6417	69.5	63.2
7_6_15	0.5	1	666	78.3	70.9
7_6_15	0.58	0	1292	79.2	80.3
7_6_15	0.58	0	1472	181.9	219.5
7_6_15	0.58	0	2063	355.9	252.9
7_6_15	0.58	0	249	177.9	60.8
7_6_15	0.58	0	4043	104.0	0
7_6_15	0.58	0	4167	407.9	282.9
7_6_15	0.58	0	4193	210.6	213.1
7_6_15	0.58	0	4293	88.1	0
7_6_15	0.58	0	6245	186.8	131.0
7_6_15	0.58	0	6417	129.2	25.7
7_6_15	0.58	0	666	107.0	38.5
7_6_15	0.58	1	1292	32.7	27.6
7_6_15	0.58	1	1382	61.0	56.6
7_6_15	0.58	1	1472	76.3	64.3
7_6_15	0.58	1	2063	87.5	58.8
7_6_15	0.58	1	249	70.3	62.7
7_6_15	0.58	1	4043	107.5	95.1
7_6_15	0.58	1	4167	75.4	64.7
7_6_15	0.58	1	4193	71.4	49.3
7_6_15	0.58	1	4293	60.7	39.4
7_6_15	0.58	1	6245	91.2	79.7
7_6_15	0.58	1	6417	76.8	65.6
7_6_15	0.58	1	666	92.4	83.2
7_6_15	0.67	0	1292	137.2	0
7_6_15	0.67	0	1382	106.5	0
7_6_15	0.67	0	1472	121.0	121.7
7_6_15	0.67	0	2063	118.0	0
7_6_15	0.67	0	249	62.4	58.6
7_6_15	0.67	0	4043	456.7	0
7_6_15	0.67	0	4167	309.3	256.4
7_6_15	0.67	0	4193	147.4	115.2
7_6_15	0.67	0	6245	30.0	0
7_6_15	0.67	0	6417	41.0	0
7_6_15	0.67	0	666	55.3	25.9
7_6_15	0.67	1	1292	32.7	24.0
7_6_15	0.67	1	1382	68.3	59.9
7_6_15	0.67	1	1472	84.6	68.5
7_6_15	0.67	1	2063	92.4	58.5
7_6_15	0.67	1	249	79.9	67.8
7_6_15	0.67	1	4043	121.4	100.6
7_6_15	0.67	1	4167	86.5	63.0
7_6_15	0.67	1	4193	74.7	59.6
7_6_15	0.67	1	4293	65.5	42.4
7_6_15	0.67	1	6245	100.8	79.8
7_6_15	0.67	1	6417	89.5	71.7
7_6_15	0.67	1	666	104.6	88.0
7_6_15	0.75	0	1292	85.7	0
7_6_15	0.75	0	1382	60.5	35.4
7_6_15	0.75	0	1472	117.5	114.7
7_6_15	0.75	0	2063	43.4	0
7_6_15	0.75	0	249	158.4	0
7_6_15	0.75	0	4043	31.7	0
7_6_15	0.75	0	4167	260.9	301.1
