Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdenisty	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdenisty
7_6_15	1.0	815	815	1.0	23.6	9.7	0.10003	0.04101	815	815	1.0	23.6	9.7	0.10003	0.04101
7_6_15	0.92	1268	1268	1.0	23.8	9.8	0.10129	0.04172	2083	2083	1.0	23.7	9.8	0.1008	0.04144
7_6_15	0.83	1670	1670	1.0	23.4	9.9	0.09923	0.04191	3753	3753	1.0	23.6	9.8	0.1001	0.04165
7_6_15	0.75	1912	1910	1.0	21.9	9.4	0.09283	0.03989	5665	5663	1.0	23.0	9.7	0.09765	0.04121
7_6_15	0.67	2358	2356	1.0	20.1	9.3	0.08571	0.04001	8023	8019	1.0	22.2	9.7	0.09414	0.04122
7_6_15	0.58	2892	2888	1.0	18.1	8.8	0.07722	0.03782	10915	10907	1.0	21.1	9.6	0.08966	0.04103
7_6_15	0.5	3620	3610	1.0	15.8	8.1	0.06761	0.035	14535	14517	1.0	19.8	9.6	0.08418	0.04074
7_6_15	0.42	4774	4753	1.0	13.7	7.7	0.05911	0.03335	19309	19270	1.0	18.3	9.5	0.078	0.04052
7_6_15	0.33	6627	6532	0.99	11.1	6.8	0.04816	0.03001	25936	25802	0.99	16.4	9.4	0.07044	0.04028
7_6_15	0.25	10578	10206	0.96	8.4	5.7	0.03707	0.02582	36514	36008	0.99	14.2	9.3	0.06098	0.03972
7_6_15	0.17	20257	17365	0.86	5.5	4.3	0.02515	0.02018	56771	53373	0.94	11.3	9.0	0.04932	0.03845
7_6_15	0.08	85327	5839	0.07	2.1	2.0	0.00971	0.00966	142098	59212	0.42	10.4	9.0	0.04542	0.03849
7_8_15	1.0	793	793	1.0	23.4	9.8	0.09954	0.04168	793	793	1.0	23.4	9.8	0.09954	0.04168
7_8_15	0.92	1248	1247	1.0	23.7	9.7	0.10053	0.04119	2041	2040	1.0	23.6	9.7	0.10014	0.04137
7_8_15	0.83	1605	1605	1.0	23.5	9.8	0.09964	0.04181	3646	3645	1.0	23.5	9.8	0.09992	0.04156
7_8_15	0.75	1897	1897	1.0	21.9	9.2	0.09286	0.03914	5543	5542	1.0	23.0	9.6	0.09751	0.04088
7_8_15	0.67	2286	2285	1.0	19.9	9.1	0.08472	0.03888	7829	7827	1.0	22.1	9.6	0.09377	0.04072
7_8_15	0.58	2805	2803	1.0	18.0	8.6	0.07685	0.03688	10634	10630	1.0	21.0	9.5	0.08931	0.04044
7_8_15	0.5	3510	3503	1.0	15.7	8.0	0.06749	0.03456	14144	14133	1.0	19.7	9.4	0.0839	0.04018
7_8_15	0.42	4635	4614	1.0	13.7	7.7	0.05896	0.03336	18779	18747	1.0	18.2	9.4	0.07776	0.04008
7_8_15	0.33	6572	6473	0.98	11.1	6.9	0.04822	0.03068	25351	25220	0.99	16.4	9.4	0.07018	0.04003
7_8_15	0.25	10396	10015	0.96	8.3	5.7	0.03687	0.02548	35747	35235	0.99	14.1	9.2	0.06071	0.03946
